movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Dune,2021,8.2,74,329884,71,155
Shang-Chi and the Legend of the Ten Rings,2021,7.7,71,186254,,132
Jai Bhim,2021,9.6,,118773,,164
Harry Potter and the Sorcerer's Stone,2001,7.6,65,708251,317.58,152
The Shawshank Redemption,1994,9.3,80,2490757,28.34,142
Interstellar,2014,8.6,74,1640700,188.02,169
Home Alone,1990,7.6,63,513213,285.76,103
Blade Runner 2049,2017,8.0,81,513865,92.05,164
Knives Out,2019,7.9,82,548590,165.36,130
Casino Royale,2006,8.0,80,625865,167.45,144
The Godfather,1972,9.2,100,1718532,134.97,175
Avengers: Endgame,2019,8.4,78,961015,858.37,181
Once Upon a Time... In Hollywood,2019,7.6,83,650952,142.5,161
Sardar Udham,2021,8.9,,28525,,164
Titanic,1997,7.8,75,1103530,659.33,194
Ghostbusters,1984,7.8,71,380358,238.63,105
V for Vendetta,2005,8.1,62,1074824,70.51,132
Skyfall,2012,7.8,81,668356,304.36,143
Joker,2019,8.4,59,1095122,335.45,122
1917,2019,8.3,78,505971,159.23,119
The Wolf of Wall Street,2013,8.2,75,1281873,116.9,180
The Matrix,1999,8.7,73,1777768,171.48,136
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1744564,315.54,178
Parasite,2019,8.6,96,682234,53.37,132
The Dark Knight,2008,9.0,84,2443049,534.86,152
Apocalypse Now,1979,8.4,94,634785,83.47,147
Saving Private Ryan,1998,8.6,91,1303518,216.54,169
Little Women,2019,7.8,91,171044,108.1,135
Zack Snyder's Justice League,2021,8.1,54,345889,,242
Halloween,1978,7.7,87,259113,47.0,91
Moneyball,2011,7.6,87,395705,75.61,133
Guardians of the Galaxy,2014,8.0,76,1103628,333.18,121
Fight Club,1999,8.8,66,1961234,37.03,139
Inception,2010,8.8,74,2192222,292.58,148
Call Me by Your Name,2017,7.9,93,241627,18.1,132
Prisoners,2013,8.1,70,647668,61.0,153
Pulp Fiction,1994,8.9,94,1925068,107.93,154
Dunkirk,2017,7.8,94,603887,188.37,106
The Gentlemen,2019,7.8,51,287023,,113
Pride & Prejudice,2005,7.8,82,276204,38.41,129
American Psycho,2000,7.6,64,533651,15.07,101
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,810453,381.01,130
Gladiator,2000,8.5,67,1411305,187.71,155
Harry Potter and the Goblet of Fire,2005,7.7,81,579731,290.01,157
Heat,1995,8.2,76,613809,67.44,170
Arrival,2016,7.9,81,646663,100.55,116
The Grand Budapest Hotel,2014,8.1,88,753475,59.1,99
Jojo Rabbit,2019,7.9,58,345170,0.35,108
Forrest Gump,1994,8.8,82,1924133,330.25,142
Léon: The Professional,1994,8.5,64,1091599,19.5,110
Deadpool 2,2018,7.7,66,525827,324.59,119
Avatar,2009,7.8,83,1163997,760.51,162
Avengers: Infinity War,2018,8.4,68,941180,678.82,149
Gone Girl,2014,8.1,79,918194,167.77,149
Dazed and Confused,1993,7.6,78,175287,7.99,102
L.A. Confidential,1997,8.2,90,555946,64.62,138
Django Unchained,2012,8.4,81,1442047,162.81,165
Inglourious Basterds,2009,8.3,69,1346308,120.54,153
Goodfellas,1990,8.7,90,1079834,46.84,146
The Princess Bride,1987,8.1,77,411476,30.86,98
Star Wars: Episode IV - A New Hope,1977,8.6,90,1286006,322.74,121
Harry Potter and the Prisoner of Azkaban,2004,7.9,82,586024,249.36,142
Blade Runner,1982,8.1,84,728764,32.87,117
American Gangster,2007,7.8,76,409392,130.16,157
Back to the Future,1985,8.5,87,1122929,210.61,116
Jurassic Park,1993,8.1,68,916782,402.45,127
A Clockwork Orange,1971,8.3,77,791206,6.21,136
Alien,1979,8.4,89,830698,78.9,117
American Beauty,1999,8.3,84,1110479,130.1,122
The Prestige,2006,8.5,66,1255681,53.09,130
The Godfather: Part II,1974,9.0,90,1193279,57.3,202
No Country for Old Men,2007,8.1,91,909634,74.28,122
The Nightmare Before Christmas,1993,8.0,82,317585,75.08,76
Spider-Man: Into the Spider-Verse,2018,8.4,87,436946,190.24,117
Schindler's List,1993,8.9,94,1276708,96.9,195
The Father,2020,8.3,88,106480,,97
Wind River,2017,7.7,73,227783,33.8,107
The Shining,1980,8.4,66,954264,44.02,146
Good Will Hunting,1997,8.3,70,908598,138.43,126
Portrait of a Lady on Fire,2019,8.1,95,79424,3.76,122
Tombstone,1993,7.8,50,137564,56.51,130
Sicario,2015,7.6,82,401313,46.89,121
The Goonies,1985,7.8,62,258069,61.5,114
X-Men: First Class,2011,7.7,65,666403,146.41,131
Se7en,1995,8.6,65,1531704,100.13,127
Shutter Island,2010,8.2,63,1209539,128.01,138
Harry Potter and the Half-Blood Prince,2009,7.6,78,504512,301.96,153
The Thing,1982,8.1,57,397053,13.78,109
Thor: Ragnarok,2017,7.9,74,657092,315.06,130
The Departed,2006,8.5,85,1250521,132.38,151
Mad Max: Fury Road,2015,8.1,90,937063,154.06,120
Deadpool,2016,8.0,65,959066,363.07,108
Zodiac,2007,7.7,78,503452,33.08,157
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,508005,295.98,146
The Fifth Element,1997,7.7,52,452488,63.54,126
Get Out,2017,7.7,85,538133,176.04,104
The Silence of the Lambs,1991,8.6,85,1343884,130.74,118
The Martian,2015,8.0,80,803034,228.43,144
Soorarai Pottru,2020,9.1,,99904,,153
Aliens,1986,8.3,84,683775,85.16,137
Mission: Impossible - Fallout,2018,7.7,86,310717,220.16,147
Coco,2017,8.4,81,441030,209.73,105
Die Hard,1988,8.2,72,826124,83.01,132
Hacksaw Ridge,2016,8.1,71,474394,67.21,139
Cast Away,2000,7.8,73,557866,233.63,143
Train to Busan,2016,7.6,72,194760,2.13,118
The Hangover,2009,7.7,73,748080,277.32,100
Bohemian Rhapsody,2018,7.9,49,494119,216.43,134
